word,wordlen,speak_time,stop_time,period
sir,3,0.18,0.0,0.0
matthew,7,0.36,0.0,0.0
thompson,8,0.72,0.5100000000000002,0.0
is,2,0.3299999999999996,0.0,0.0
our,3,0.2099999999999999,0.0,0.0
first,5,0.5700000000000003,0.06,0.0
finalist,8,0.6433200000000001,0.0,0.0
today,5,0.2866799999999996,0.0,1.0
he's,4,0.2400000000000002,0.0,0.0
from,4,0.1500000000000003,0.0,0.0
the,3,0.0899999999999998,0.0,0.0
university,10,0.75,0.2399999999999993,0.0
of,2,0.1200000000000001,0.0,0.0
queensland,10,0.6600000000000001,0.6000000000000005,0.0
in,2,0.1199999999999992,0.0,0.0
the,3,0.0900000000000007,0.0,0.0
school,6,0.5099999999999998,0.0899999999999998,0.0
of,2,0.1500000000000003,0.0,0.0
psychology,10,0.6899999999999995,0.0,0.0
and,3,0.1500000000000003,0.0,0.0
national,8,0.4499999999999993,0.0,0.0
i,1,0.120000000000001,0.0,0.0
see,3,0.209999999999999,0.0,0.0
t,1,0.2100000000000008,0.0,0.0
australia,9,0.5099999999999998,0.2699999999999996,0.0
faculty,7,0.7200000000000006,0.209999999999999,0.0
of,2,0.1500000000000003,0.0,0.0
social,6,0.5099999999999998,0.0,0.0
and,3,0.2100000000000008,0.0,0.0
behavioral,10,0.4499999999999993,0.0299999999999993,0.0
sciences,8,0.7800000000000011,1.1999999999999993,1.0
the,3,0.1500000000000003,0.0,0.0
name,4,0.2699999999999996,0.0,0.0
of,2,0.120000000000001,0.0,0.0
his,3,0.1500000000000003,0.0,0.0
thesis,6,0.629999999999999,0.2699999999999996,0.0
is,2,0.2003699999999995,0.0,0.0
structure,9,0.4596300000000006,0.0,0.0
and,3,0.120000000000001,0.0,0.0
features,8,0.5999999999999979,0.0600000000000022,0.0
in,2,0.1499999999999985,0.0,0.0
complex,7,0.5399999999999991,0.0,0.0
visual,6,0.360000000000003,0.0,0.0
stimuli,7,0.7199999999999989,0.3599999999999994,0.0
assisting,9,0.4800000000000004,0.0,0.0
identification,14,0.8399999999999999,0.0300000000000011,0.0
in,2,0.1499999999999985,0.0,0.0
forensics,9,0.8099999999999987,0.3300000000000018,1.0
and,3,0.4199999999999981,0.0600000000000022,0.0
the,3,0.120000000000001,0.0,0.0
short,5,0.3299999999999983,0.0,0.0
name,4,0.3299999999999983,0.0,0.0
for,3,0.2700000000000031,0.0,0.0
us,2,0.2399999999999984,0.0,0.0
here,4,0.1499999999999985,0.0,0.0
today,5,0.3831560000000031,0.0068459999999994,0.0
is,2,0.1199999999999974,0.0,0.0
